,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
886,2211357,Várzea Branca,22,PI,430.3882352941177,465.52647058823527,468.4029411764706,463.40000000000003,549.1176470588235
887,2211407,Várzea Grande,22,PI,430.7333333333333,451.1484210526316,468.9189473684211,448.805376344086,482.3157894736842
888,2211506,Vera Mendes,22,PI,431.7645569620253,450.02,465.41125,471.1126582278481,507.25
889,2211605,Vila Nova do Piauí,22,PI,445.27941176470586,490.3388888888889,496.90416666666664,486.4985294117647,590.2777777777778
890,2211704,Wall Ferraz,22,PI,431.8863636363636,445.35333333333335,468.21888888888884,480.59090909090907,527.3333333333334
891,2300101,Abaiara,23,CE,446.44541484716154,474.5262711864407,489.8237288135593,483.317903930131,612.542372881356
892,2300150,Acarape,23,CE,445.21613545816734,475.6932692307692,496.41846153846154,497.7117529880478,564.0
893,2300200,Acaraú,23,CE,454.1070866141732,483.6151898734177,501.89071729957806,507.50787401574803,564.6244725738396
894,2300309,Acopiara,23,CE,449.46993927125504,481.58480154888673,497.31355275895453,498.3107287449393,536.0890609874153
895,2300408,Aiuaba,23,CE,442.9589430894309,473.58122605363985,491.6498084291188,498.4479674796748,514.7892720306513
896,2300507,Alcântaras,23,CE,450.048275862069,480.7778846153846,495.0831730769231,500.38029556650247,539.0384615384615
897,2300606,Altaneira,23,CE,444.329,465.04095238095243,478.8852380952381,483.8915,491.8095238095238
898,2300705,Alto Santo,23,CE,444.28694029850743,472.0235714285715,497.69464285714287,492.9085820895522,522.8571428571429
899,2300754,Amontada,23,CE,446.27829977628636,469.59891304347826,482.8901086956522,495.5312080536913,516.9782608695652
900,2300804,Antonina do Norte,23,CE,440.63906249999997,474.2805970149253,491.689552238806,497.7760416666667,514.4278606965174
901,2300903,Apuiarés,23,CE,455.4454828660436,483.71865443425077,502.15749235474004,499.6598130841121,534.1896024464831
902,2301000,Aquiraz,23,CE,462.04032869785084,493.16845597104947,509.88154402895054,510.23463969658656,566.151990349819
903,2301109,Aracati,23,CE,456.5520287958115,489.78844444444445,509.6807619047619,505.79227748691096,548.3809523809524
904,2301208,Aracoiaba,23,CE,442.339798206278,471.84642857142853,489.6668831168831,481.4008968609865,520.0
905,2301257,Ararendá,23,CE,451.3430434782608,473.79243697478995,488.78109243697475,491.1573913043478,497.7310924369748
906,2301307,Araripe,23,CE,451.046875,482.2169133192389,493.546088794926,506.7709821428571,587.8224101479915
907,2301406,Aratuba,23,CE,445.3009803921568,467.42731591448927,487.7011876484561,484.6085784313725,492.39904988123516
